name,borough,postcode_district,zone,lat,lon,avg_flat_price,avg_house_price,price_to_earnings,afford_headroom,infra_pipeline,regen_pipeline,planning_momentum,gentrification_momentum,rent_growth,gross_yield,price_momentum_3yr,volume_trend,ptal,mins_to_central,schools,amenity_supermarket,amenity_highstreet,greenspace,safety,risk_cladding,risk_flood,risk_oversupply_exla,tenure_note,data_confidence,notes
Abbey Wood,Greenwich/Bexley,SE2,4,51.4866,0.1206,255000,420000,8.0,,5,5,4,2,50,5.8,8,1,4,30,3,2,2,4,80,2,2,2,flat+house,live,"Elizabeth line terminus + FUNDED DLR-to-Thamesmead. Cheapest re-rating story on the line with a fresh catalyst on top. [LR live SE2 flats n=39 houses n=78, to 19 Mar 2026]"
Thamesmead,Bexley/Greenwich,SE28,4,51.5071,0.1102,255500,373750,7.2,,5,5,4,2,38,5.9,7,1,2,45,2,1,1,4,85,2,3,2,flat+house,live,"Govt 'New Town' (15k homes, Peabody/Lendlease) + funded DLR. Cheapest riverside; weak transport TODAY (PTAL low) is the whole point - it's the leading bet. [LR live SE28 flats n=28 houses n=32, to 19 Mar 2026]"
Woolwich,Greenwich,SE18,4,51.4920,0.0694,310000,460000,8.5,,3,3,3,3,40,5.7,8,0,6,22,3,3,3,3,120,3,2,3,flat heavy,live,"Elizabeth line open (uplift largely banked). Heavy Royal Arsenal new-build flat supply - cladding + oversupply risk; favour resale/houses. [LR live SE18 flats n=89 houses n=101, to 16 Mar 2026]"
Barking,Barking & Dagenham,IG11,4,51.5396,0.0813,235000,425000,7.5,,3,4,4,2,30,6.0,9,2,5,25,3,2,3,2,110,2,2,2,flat+house,live,"Cheapest borough. Barking Riverside (10k homes, Overground live). Top yield + FTB entry point. [LR live IG11 flats n=91 houses n=111, to 13 Mar 2026]"
Dagenham,Barking & Dagenham,RM10,5,51.5390,0.1657,227500,380000,6.8,,2,3,3,2,28,6.2,7,1,4,35,3,2,2,3,90,1,2,2,house findable,live,"Cheapest house stock in London. Ex-LA stigma + slower transport; value play, lighter catalyst. [LR live RM10 flats n=30 houses n=136, to 20 Mar 2026]"
Manor Park,Newham,E12,3,51.5500,0.0470,230000,460000,8.2,,2,2,3,3,35,6.0,14,2,5,20,3,2,2,4,95,1,1,1,terraces,live,"Elizabeth line CATCH-UP: lagged early then ~11-17% of 10yr gain came recently. Period terraces, low cladding risk. [LR live E12 flats n=14 houses n=45, to 30 Mar 2026]"
Forest Gate,Newham,E7,3,51.5490,0.0250,260000,597000,9.0,,2,2,3,4,35,5.9,10,2,5,18,3,2,3,4,100,1,1,1,terraces,live,"Genuine gentrification (outperformed Newham by ~9%). Victorian terraces, strong momentum, low structural risk. [LR live E7 flats n=29 houses n=77, to 20 Mar 2026]"
Royal Docks,Newham,E16,3,51.5093,0.0270,375000,447500,9.0,,3,5,4,2,30,5.5,3,0,5,18,3,2,2,3,110,3,2,3,flat heavy,live,"36k-home capacity, Elizabeth + DLR. But classic new-build flat glut - cladding/oversupply drag is real; be selective. [LR live E16 flats n=165 houses n=26, to 25 Mar 2026]"
Walthamstow,Waltham Forest,E17,3,51.5830,-0.0200,435500,710000,9.5,,1,2,3,4,32,5.8,6,1,6,20,4,3,4,4,90,1,1,1,terraces+flats,live,"Established gentrification, Victoria line, Wetlands. Houses now above budget; flats fit. Catalyst largely priced - momentum play. [LR live E17 flats n=128 houses n=167, to 27 Mar 2026]"
Leyton,Waltham Forest,E10,3,51.5560,-0.0050,417500,727500,9.2,,1,2,3,4,32,5.7,6,1,6,20,3,2,3,4,95,1,2,1,terraces,live,"Walthamstow's cheaper neighbour, marshes, ripple-effect catch-up candidate. [LR live E10 flats n=70 houses n=80, to 23 Mar 2026]"
Tottenham Hale,Haringey,N17,3,51.5882,-0.0594,316000,540000,8.8,,3,4,4,4,33,5.8,7,1,6,18,3,3,3,4,110,3,2,2,flat heavy,live,"Meridian Water (10k homes, new station, 20yr). Good momentum but heavy flat pipeline + Lea Valley flood/cladding watch. [LR live N17 flats n=76 houses n=83, to 25 Mar 2026]"
Lewisham,Lewisham,SE13,2,51.4657,-0.0142,329000,773000,9.5,,2,3,3,3,28,5.3,5,1,6,20,3,3,3,3,100,2,2,2,mixed,live,"Zone 2, town-centre regen, mooted Bakerloo TERMINUS (long-dated). Solid all-rounder; Bakerloo is option value not base case. [LR live SE13 flats n=90 houses n=43, to 26 Mar 2026]"
Catford,Lewisham,SE6,3,51.4450,-0.0200,293000,570000,8.8,,1,2,3,3,27,5.5,5,0,4,25,3,2,2,3,95,2,2,2,terraces+flats,live,"Cheaper Lewisham ripple. River Pool flood history. Quiet value play. [LR live SE6 flats n=63 houses n=95, to 25 Mar 2026]"
Croydon,Croydon,CR0,5,51.3762,-0.0982,280000,450000,7.5,,1,2,2,2,25,5.8,4,0,6,30,3,3,3,3,110,3,1,2,mixed,med,Cheap + high yield BUT Westfield regen is a perpetual-delay story (no application until mid-2026). Don't pay a regen premium that may never arrive.
Bexleyheath,Bexley,DA6,0,51.4593,0.1383,272500,453500,7.8,,1,1,2,1,22,5.0,5,1,3,40,4,3,3,4,70,1,1,1,houses,live,"National rail only (no tube), good schools, safe, family houses sub-budget. Liveability/value, minimal growth catalyst. [LR live DA6 flats n=20 houses n=22, to 09 Mar 2026]"
Southall,Ealing,UB1,4,51.5060,-0.3786,423049,516250,8.5,,1,3,3,2,30,5.5,3,0,5,30,3,2,3,3,95,2,1,3,flat heavy,live,"Elizabeth line open but uplift HELD BACK by huge Green Quarter (~3,750 homes) supply. Oversupply caps flat growth. [LR live UB1 flats n=25 houses n=40, to 27 Mar 2026]"
Canada Water,Southwark,SE16,2,51.4980,-0.0500,440000,717500,11.0,,1,3,4,3,26,4.8,4,0,7,12,3,3,3,3,90,2,2,2,flat heavy,live,"British Land 53-acre scheme (~4,200 homes), Jubilee line, very central. Pricier (flats near budget ceiling), lower yield. [LR live SE16 flats n=102 houses n=21, to 20 Mar 2026]"
Old Kent Road,Southwark,SE15,2,51.4860,-0.0700,398250,882500,9.5,,3,5,5,4,35,5.0,8,0,5,20,3,2,3,2,130,3,1,2,flat heavy,live,"£10-15bn / 20k homes regen. Bakerloo stations SAFEGUARDED but ~2040 - a 10-15yr option, not an imminent catalyst. Peckham-adjacent momentum. [LR live SE15 flats n=116 houses n=70, to 27 Mar 2026]"
Ealing,Ealing,W5,3,51.5130,-0.3050,465000,880000,11.5,,1,2,2,2,22,4.5,2,0,6,30,4,4,4,4,85,2,1,1,mixed,live,"Elizabeth line uplift LARGELY BANKED, weak recent momentum. Waitrose/M&S, great amenities - a 'priced-in / arrived' comparator. [LR live W5 flats n=77 houses n=47, to 20 Mar 2026]"
Nine Elms,Wandsworth,SW8,1,51.4800,-0.1300,600000,0,13.0,,2,2,2,1,15,3.5,-2,-2,6,15,3,3,3,3,120,3,2,3,flat only,med,"Luxury-flat OVERSUPPLY case study: empty units, multi-year listings, price cuts, low yield. Included as a what-NOT-to-buy comparator."
Acton,Ealing,W3,2,51.5145,-0.2700,450000,650000,10.5,,5,5,4,3,35,4.8,4,0,6,17,3,3,3,3,95,2,1,2,terraces+conv,med,"Old Oak Common HS2/Elizabeth super-hub under construction (Europe's biggest regen, OPDC ~24k homes by 2040). Period W3 stock benefits from the catalyst without absorbing the new-build supply. Central line: 8 min White City, 33 min Bethnal Green."
Bow,Tower Hamlets,E3,2,51.5275,-0.0250,420000,600000,9.5,,3,3,3,4,35,5.0,6,0,6,10,3,3,3,4,105,2,1,2,terraces+conv,med,"Central line at Mile End (Bethnal Green 1 stop / ~2 min), gentrification ripple from Hackney + Victoria Park. Period terraces and Victorian conversions; Roman Road regen ongoing. No mega-catalyst — steady established momentum."
